#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_aircon,80x0C_park_neutral_switch,80x0F_idle_set_point,80x10_idle_hot,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,coolant_sensor_fault,air_intake_sensor_fault,fuel_pump_circuit_fault,throttle_pot_fault,0x80_raw,7dx01_ignition_switch,7dx02_throttle_angle,7dx04_air_fuel_ratio,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0F_idle_base_pos,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx1F_jack_count,0x7d_raw
2023-05-15 19:38:40.273,1131,42,200,21,200,33,13.9,0.64,0,true,true,0,26,93,0,0,12,2.6,16,false,false,false,false,801C046B61FF4CFF218B200020010000001A8B5D000500480514100000,true,10.8,14.6,470,255,255,1,true,11,-1,0,82,0,128,22,7D201012FF92405EFFFF01018B6300FF52FFFF3080800FFF16C01C4023C031C016
2023-05-15 19:38:41.070,1131,42,200,21,200,32,13.9,0.64,0,true,true,0,26,93,0,0,12,2.6,16,false,false,false,false,801C046B61FF4CFF208B200020010000001A8B5D000900480516100000,true,10.8,14.6,265,255,255,1,true,11,0,0,82,0,128,22,7D201012FF924035FFFF01018B6400FF52FFFF30808009FF16C01C4023C031C016
2023-05-15 19:38:41.885,1136,42,200,21,200,31,13.9,0.64,0,true,true,0,26,93,0,0,12,2.6,16,false,false,false,false,801C047061FF4CFF1F8B200020010000001A8B5D001100480512100000,true,10.8,14.6,140,255,255,1,true,11,1,0,82,0,128,22,7D201012FF92401CFFFF01018B6500FF52FFFF30807FF8FF16C01C4023C031C016
2023-05-15 19:38:42.669,1128,42,200,21,200,33,13.8,0.64,0,true,true,0,26,93,0,0,12,2.6,16,false,false,false,false,801C046861FF4CFF218A200020010000001A8B5D000400480514100000,true,10.8,14.6,335,255,255,1,true,11,2,0,82,0,128,22,7D201012FF924043FFFF01018B6600FF52FFFF3080800CFF16C01C4023C031C016
2023-05-15 19:38:43.644,1137,42,200,21,200,32,13.8,0.64,0,true,true,0,26,93,0,0,11.5,2.6,16,false,false,false,false,801C047161FF4CFF208A200020010000001A8B5D001000470512100000,true,10.8,14.6,800,255,255,1,true,11,-1,0,81,0,128,22,7D201012FF9240A0FFFF01018B6300FF51FFFF3080800DFF16C01C4023C031C016
2023-05-15 19:38:44.506,1133,43,200,21,200,33,13.8,0.64,0,true,true,0,26,93,0,0,11.5,2.6,16,false,false,false,false,801C046D62FF4CFF218A200020010000001A8B5D000D00470513100000,true,10.8,14.6,580,255,255,1,true,11,-2,0,81,0,128,22,7D201012FF924074FFFF01018B6200FF51FFFF30808005FF16C01C4023C031C016
2023-05-15 19:38:45.417,1122,43,200,21,200,32,13.8,0.64,0,true,true,0,26,93,0,0,12,2.6,16,false,false,false,false,801C046262FF4CFF208A200020010000001A8B5D000800480512100000,true,10.8,14.6,115,255,255,1,true,11,1,0,81,0,128,22,7D201012FF924017FFFF01018B6500FF51FFFF30808009FF16C01C4023C031C016
2023-05-15 19:38:46.200,1136,43,200,21,200,32,13.8,0.64,0,true,true,0,26,93,0,0,12,2.59,16,false,false,false,false,801C047062FF4CFF208A200020010000001A8B5D000300480510100000,true,10.8,14.6,295,255,255,1,true,11,2,0,81,0,128,22,7D201012FF92403BFFFF01018B6600FF51FFFF30808002FF16C01C4023C031C016
2023-05-15 19:38:46.935,1129,43,200,21,200,32,13.8,0.64,0,true,true,0,26,93,0,0,12,2.61,16,false,false,false,false,801C046962FF4CFF208A200020010000001A8B5D000B00480518100000,true,10.8,14.6,170,255,255,1,true,11,2,0,81,0,128,22,7D201012FF924022FFFF01018B6600FF51FFFF30808005FF16C01C4023C031C016
2023-05-15 19:38:48.086,1149,43,200,21,200,31,13.8,0.64,0,true,true,0,26,93,0,0,12,2.6,16,false,false,false,false,801C047D62FF4CFF1F8A200020010000001A8B5D000F00480514100000,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,
